gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
125521,29454-A-1,,URU,ARG,Q1,1:49,11,16,14,ARG,408857,Joaquin,Caumo,10,FT,Free throw made 1 of 2,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q1,1:49,11,16,14,ARG,408857,Joaquin,Caumo,10,FT,Free throw missed 2 of 2,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q1,1:37,11,16,14,ARG,398746,Roman,Moravansky,11,P3,3pt jump shot missed,0,3,3PT,261,114
125521,29454-A-1,,URU,ARG,Q1,1:25,11,16,14,ARG,408857,Joaquin,Caumo,10,P2,"2PtsFG under the basket, layup missed",0,2,2PT,156,34
125521,29454-A-1,,URU,ARG,Q1,1:19,11,18,14,ARG,408871,Manuel,Hernandez,4,P2,2PtsFG under the basket made,1,2,2PT,140,31
125521,29454-A-1,,URU,ARG,Q1,1:06,14,18,155,URU,407647,Gabriel,Fata,19,P3,3pt jump shot made,1,3,3PT,199,153
125521,29454-A-1,,URU,ARG,Q1,0:38,14,21,14,ARG,398746,Roman,Moravansky,11,P3,3pt jump shot made,1,3,3PT,9,48
125521,29454-A-1,,URU,ARG,Q1,0:14,16,21,155,URU,375722,Valentino,Ramírez,13,P2,"2PtsFG under the basket, layup made",1,2,2PT,127,33
125521,29454-A-1,,URU,ARG,Q1,0:14,16,21,155,URU,375722,Valentino,Ramírez,13,FT,1st free throw missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q1,0:11,16,21,14,ARG,409023,Joaquin,Celiz,9,P3,3pt jump shot missed,0,3,3PT,46,133
125521,29454-A-1,,URU,ARG,Q1,0:07,16,21,14,ARG,398746,Roman,Moravansky,11,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,150,38
125521,29454-A-1,,URU,ARG,Q2,9:45,16,21,155,URU,407647,Gabriel,Fata,19,P2,"2PtsFG under the basket, layup missed",0,2,2PT,130,31
125521,29454-A-1,,URU,ARG,Q2,9:19,16,21,155,URU,407647,Gabriel,Fata,19,P3,3pt jump shot missed,0,3,3PT,196,160
125521,29454-A-1,,URU,ARG,Q2,8:57,16,21,14,ARG,409174,Juan,Marquez,15,P2,"2PtsFG under the basket, turnaround jump shot missed",0,2,2PT,153,38
125521,29454-A-1,,URU,ARG,Q2,8:49,18,21,155,URU,408047,Thiago,Michaelsson,21,P2,"2PtsFG under the basket, fast break, turnaround jump shot made",1,2,2PT,158,36
125521,29454-A-1,,URU,ARG,Q2,8:31,18,21,14,ARG,408857,Joaquin,Caumo,10,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,155,38
125521,29454-A-1,,URU,ARG,Q2,8:21,18,24,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot made,1,3,3PT,263,79
125521,29454-A-1,,URU,ARG,Q2,8:11,20,24,155,URU,375722,Valentino,Ramírez,13,P2,"2PtsFG under the basket, layup made",1,2,2PT,133,31
125521,29454-A-1,,URU,ARG,Q2,7:46,20,24,14,ARG,409174,Juan,Marquez,15,P2,layup missed,0,2,2PT,165,35
125521,29454-A-1,,URU,ARG,Q2,7:42,20,26,14,ARG,355917,Facundo,Cornalis,5,P2,2PtsFG under the basket made,1,2,2PT,140,31
125521,29454-A-1,,URU,ARG,Q2,7:25,22,26,155,URU,407647,Gabriel,Fata,19,P2,"2PtsFG under the basket, layup made",1,2,2PT,133,39
125521,29454-A-1,,URU,ARG,Q2,7:02,22,26,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,46,170
125521,29454-A-1,,URU,ARG,Q2,6:46,23,26,155,URU,407647,Gabriel,Fata,19,FT,1st of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,6:46,24,26,155,URU,407647,Gabriel,Fata,19,FT,2nd of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,6:36,24,26,14,ARG,409021,Elias,Torrens,7,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,115,24
125521,29454-A-1,,URU,ARG,Q2,6:10,24,26,155,URU,324131,Federico,Cruz,8,P2,"2PtsFG inside right, jump shot missed",0,2,2PT,247,72
125521,29454-A-1,,URU,ARG,Q2,5:42,24,26,14,ARG,398746,Roman,Moravansky,11,P2,"2PtsFG under the basket, points after turnover, layup missed",0,2,2PT,157,26
125521,29454-A-1,,URU,ARG,Q2,5:38,24,28,14,ARG,355917,Facundo,Cornalis,5,P2,"2PtsFG under the basket, points from second chance + after turnover made",1,2,2PT,140,31
125521,29454-A-1,,URU,ARG,Q2,5:11,26,28,155,URU,408046,Tomas,Abal,0,P2,"2PtsFG under the basket, points after turnover, driving layup made",1,2,2PT,145,35
125521,29454-A-1,,URU,ARG,Q2,4:56,26,28,14,ARG,408870,Gonzalo,Aman,8,FT,1st of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,4:56,26,28,14,ARG,408870,Gonzalo,Aman,8,FT,2nd of 2 free throws missed,0,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,4:47,26,28,155,URU,407936,Lautaro,Gomez,10,P2,"2PtsFG under the basket, layup missed",0,2,2PT,141,38
125521,29454-A-1,,URU,ARG,Q2,4:37,28,28,155,URU,407936,Lautaro,Gomez,10,P2,"2PtsFG under the basket, layup made",1,2,2PT,152,40
125521,29454-A-1,,URU,ARG,Q2,4:24,28,28,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,34,133
125521,29454-A-1,,URU,ARG,Q2,4:13,28,28,155,URU,329851,Nicolas,Testa,11,P3,3pt jump shot missed,0,3,3PT,262,106
125521,29454-A-1,,URU,ARG,Q2,4:08,28,28,155,URU,375744,Manuel,Pastrana,4,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,152,36
125521,29454-A-1,,URU,ARG,Q2,4:03,28,28,155,URU,329851,Nicolas,Testa,11,P2,"2PtsFG under the basket, jump shot missed",0,2,2PT,125,32
125521,29454-A-1,,URU,ARG,Q2,4:00,30,28,155,URU,407936,Lautaro,Gomez,10,P2,2PtsFG under the basket made,1,2,2PT,140,31
125521,29454-A-1,,URU,ARG,Q2,3:48,30,31,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot from center made,1,3,3PT,149,170
125521,29454-A-1,,URU,ARG,Q2,3:33,31,31,155,URU,408046,Tomas,Abal,0,FT,1st of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,3:33,32,31,155,URU,408046,Tomas,Abal,0,FT,2nd of 2 free throws made,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,3:24,32,33,14,ARG,362126,Benjamin,Pettovello,2,P2,"2PtsFG under the basket, points from fastbreak + after turnover, dunk made",1,2,2PT,143,35
125521,29454-A-1,,URU,ARG,Q2,2:55,32,33,14,ARG,355917,Facundo,Cornalis,5,P3,3pt jump shot missed,0,3,3PT,43,135
125521,29454-A-1,,URU,ARG,Q2,2:36,32,34,14,ARG,408860,Mateo,Fessia,12,FT,Free throw made 1 of 2,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,2:36,32,35,14,ARG,408860,Mateo,Fessia,12,FT,Free throw made 2 of 2,1,1,FT,0,0
125521,29454-A-1,,URU,ARG,Q2,2:25,32,35,155,URU,375744,Manuel,Pastrana,4,P3,3pt jump shot missed,0,3,3PT,51,139
