gameId,gameName,date,teamCode,teamName,orgId,personId,firstName,lastName,uniformNumber,isStarter,MIN,PTS,FG2M,FG2A,FG2P,FG3M,FG3A,FG3P,FTM,FTA,FTP,REB,DREB,OREB,AST,STL,BLK,BLKR,TO,PF,FD,PM,EFF
125522,29454-A-2,,ECU,Ecuador,52,409168,Deivis,Reyes,33,0,6:10,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-14,-2
125522,29454-A-2,,ECU,Ecuador,52,379509,Lheyder,Vargas,48,1,10:38,3,0,0,0,1,3,33.3,0,0,0,2,2,0,1,0,0,0,3,3,0,5,1
125522,29454-A-2,,COL,Colombia,40,409482,Alejandro,Sanchez,4,0,14:4,7,0,3,0,2,3,66.7,1,2,50,0,0,0,1,0,0,0,0,2,1,1,3
125522,29454-A-2,,COL,Colombia,40,400857,Leonardo,Restrepo,5,1,24:12,10,0,0,0,3,7,42.9,1,2,50,9,9,0,4,1,1,0,0,3,1,29,20
125522,29454-A-2,,COL,Colombia,40,409478,Salomon,Brown,6,0,7:17,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2,1,1,-4
125522,29454-A-2,,COL,Colombia,40,379759,Matthew,Bernal,7,1,25:4,5,2,3,66.7,0,0,0,1,2,50,3,1,2,3,4,0,0,3,0,1,21,10
125522,29454-A-2,,COL,Colombia,40,409484,Ezekiel,Suarez,8,0,20:17,14,1,2,50,4,7,57.1,0,1,0,5,4,1,1,1,0,0,2,0,1,14,14
125522,29454-A-2,,COL,Colombia,40,409481,Andres,Mateus,10,1,20:36,14,5,9,55.6,0,1,0,4,5,80,13,6,7,1,0,4,0,1,0,4,18,25
125522,29454-A-2,,COL,Colombia,40,409477,Yansem,Caicedo,14,1,23:45,12,3,6,50,2,4,50,0,2,0,5,5,0,5,2,0,0,4,1,4,28,13
125522,29454-A-2,,COL,Colombia,40,332119,Andres,Hernandez,24,0,14:32,4,2,5,40,0,3,0,0,0,0,2,1,1,1,2,0,0,2,2,0,-1,1
125522,29454-A-2,,COL,Colombia,40,409480,Santiago,Rios,32,0,12:53,3,0,0,0,1,2,50,0,0,0,0,0,0,0,0,0,0,0,2,0,7,2
125522,29454-A-2,,COL,Colombia,40,409483,Julian,Betancurt,59,1,24:46,8,4,9,44.4,0,2,0,0,1,0,8,4,4,3,1,0,0,1,1,2,27,11
125522,29454-A-2,,COL,Colombia,40,379442,Angel,Orozco,83,0,12:34,2,1,6,16.7,0,0,0,0,2,0,3,1,2,0,1,0,0,0,1,1,10,-1
125523,29454-A-3,,COL,Colombia,40,409482,Alejandro,Sanchez,4,0,10:52,4,0,1,0,1,5,20,1,2,50,0,0,0,1,1,0,0,1,0,2,-5,-1
125523,29454-A-3,,COL,Colombia,40,400857,Leonardo,Restrepo,5,1,32:34,12,1,3,33.3,3,8,37.5,1,2,50,2,2,0,0,3,2,0,1,2,1,-22,10
125523,29454-A-3,,COL,Colombia,40,409478,Salomon,Brown,6,0,10:45,0,0,1,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,1,0,-2,1
125523,29454-A-3,,COL,Colombia,40,379759,Matthew,Bernal,7,1,33:31,12,5,9,55.6,0,3,0,2,4,50,3,1,2,4,1,0,0,2,0,3,-22,9
125523,29454-A-3,,COL,Colombia,40,409484,Ezekiel,Suarez,8,0,19:56,8,1,4,25,0,3,0,6,7,85.7,2,0,2,1,1,1,0,0,1,4,-11,6
125523,29454-A-3,,COL,Colombia,40,409481,Andres,Mateus,10,1,15:37,5,2,3,66.7,0,0,0,1,2,50,6,4,2,0,0,1,0,0,0,1,-17,10
125523,29454-A-3,,COL,Colombia,40,409477,Yansem,Caicedo,14,1,18:50,3,0,7,0,1,2,50,0,2,0,2,0,2,3,0,0,0,4,4,1,-13,-6
125523,29454-A-3,,COL,Colombia,40,332119,Andres,Hernandez,24,0,13:18,6,0,3,0,2,3,66.7,0,0,0,1,1,0,0,0,0,0,1,1,0,-7,2
125523,29454-A-3,,COL,Colombia,40,409480,Santiago,Rios,32,0,11:10,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-2,-2
125523,29454-A-3,,COL,Colombia,40,409483,Julian,Betancurt,59,1,22:40,9,2,6,33.3,1,2,50,2,3,66.7,4,1,3,2,1,0,0,3,2,2,-11,7
125523,29454-A-3,,COL,Colombia,40,379442,Angel,Orozco,83,0,10:47,2,1,3,33.3,0,0,0,0,2,0,6,2,4,0,1,1,0,3,2,1,2,3
125523,29454-A-3,,URU,Uruguay,155,408046,Tomas,Abal,0,0,12:42,7,2,2,100,1,4,25,0,0,0,7,5,2,0,0,0,0,2,2,1,3,9
125523,29454-A-3,,URU,Uruguay,155,375744,Manuel,Pastrana,4,0,23:55,10,1,5,20,2,10,20,2,2,100,7,7,0,2,1,3,0,1,1,2,22,10
125523,29454-A-3,,URU,Uruguay,155,407501,Facundo,Izuibejeres,5,1,13:53,3,0,1,0,1,3,33.3,0,0,0,2,2,0,4,0,0,0,2,0,1,9,4
125523,29454-A-3,,URU,Uruguay,155,324131,Federico,Cruz,8,0,18:2,14,6,7,85.7,0,0,0,2,2,100,4,3,1,2,3,0,0,5,3,2,9,17
125523,29454-A-3,,URU,Uruguay,155,407936,Lautaro,Gomez,10,1,24:5,11,4,6,66.7,1,1,100,0,0,0,5,3,2,1,0,2,0,3,2,1,16,14
125523,29454-A-3,,URU,Uruguay,155,329851,Nicolas,Testa,11,1,29:15,22,5,5,100,3,7,42.9,3,4,75,6,4,2,2,1,0,0,2,2,2,20,24
125523,29454-A-3,,URU,Uruguay,155,375722,Valentino,Ramírez,13,0,9:23,6,2,2,100,0,1,0,2,2,100,3,0,3,1,0,1,0,2,0,1,8,8
125523,29454-A-3,,URU,Uruguay,155,407935,Gabriel,Venet,15,0,8:30,2,1,2,50,0,0,0,0,0,0,1,1,0,0,0,1,0,3,0,0,2,0
125523,29454-A-3,,URU,Uruguay,155,407647,Gabriel,Fata,19,1,23:7,5,2,3,66.7,0,5,0,1,2,50,9,8,1,2,2,0,0,1,3,2,6,10
125523,29454-A-3,,URU,Uruguay,155,408047,Thiago,Michaelsson,21,0,13:57,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,1,12,5
125523,29454-A-3,,URU,Uruguay,155,407401,Lucas,Orozco,22,1,19:23,3,0,1,0,1,2,50,0,0,0,0,0,0,5,1,0,0,2,0,1,8,5
125523,29454-A-3,,URU,Uruguay,155,407638,Juan,Guzzetti,29,0,3:49,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2,0,-5,1
125524,29454-A-4,,ARG,Argentina,14,362126,Benjamin,Pettovello,2,1,15:26,8,2,2,100,1,1,100,1,1,100,4,3,1,1,1,1,0,2,0,2,28,13
