gameId,gameName,date,teamA_code,teamB_code,period,timeRemaining,scoreA,scoreB,orgId,teamCode,personId,firstName,lastName,uniformNumber,actionCode,actionText,made,pts,shotType,x,y
130879,30373-A-1,,USA,ARG,Q1,2:22,18,8,14,ARG,362126,Benjamin,Pettovello,32,P2,2pt jump shot missed,0,2,2PT,137,71
130879,30373-A-1,,USA,ARG,Q1,2:14,18,8,154,USA,416447,Demarcus,Henry,14,FT,1st of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,2:14,18,8,154,USA,416447,Demarcus,Henry,14,FT,2nd of 2 free throws missed,0,1,FT,0,0
130879,30373-A-1,,USA,ARG,Q1,1:48,20,8,154,USA,369232,Taylen,Kinney,4,P2,"2PtsFG under the basket, points from fastbreak + after turnover, driving layup made",1,2,2PT,128,33
130879,30373-A-1,,USA,ARG,Q1,1:24,20,8,14,ARG,408872,Bautista,Gobetti,6,P2,"2PtsFG inside right wing, jump shot missed",0,2,2PT,248,19
130879,30373-A-1,,USA,ARG,Q1,1:18,20,11,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot made,1,3,3PT,7,61
130879,30373-A-1,,USA,ARG,Q1,1:05,23,11,154,USA,416558,Quentin,Coleman,11,P3,3pt jump shot made,1,3,3PT,223,159
130879,30373-A-1,,USA,ARG,Q1,0:41,23,11,14,ARG,409151,Santiago,Pettinaroli,14,P2,2pt driving layup missed,0,2,2PT,138,51
130879,30373-A-1,,USA,ARG,Q1,0:28,23,11,154,USA,416519,Jasiah,Jervis,9,P3,3pt jump shot missed,0,3,3PT,264,81
130879,30373-A-1,,USA,ARG,Q1,0:07,23,11,14,ARG,408857,Joaquin,Caumo,10,P3,3pt jump shot missed,0,3,3PT,207,165
130879,30373-A-1,,USA,ARG,Q2,9:44,23,11,14,ARG,408870,Gonzalo,Aman,8,P2,"2PtsFG under the basket, pullup jump shot missed",0,2,2PT,126,40
130879,30373-A-1,,USA,ARG,Q2,9:38,23,11,154,USA,341544,Caleb,Gaskins,12,P3,3pt jump shot missed,0,3,3PT,41,127
130879,30373-A-1,,USA,ARG,Q2,9:32,23,11,154,USA,410523,Colben,Landrew,7,P2,"2PtsFG under the basket, hook shot missed",0,2,2PT,151,44
130879,30373-A-1,,USA,ARG,Q2,8:52,23,11,154,USA,369232,Taylen,Kinney,4,P3,3pt jump shot missed,0,3,3PT,8,72
130879,30373-A-1,,USA,ARG,Q2,8:40,23,11,14,ARG,408871,Manuel,Hernandez,4,P2,"2PtsFG inside center, jump shot missed",0,2,2PT,132,117
130879,30373-A-1,,USA,ARG,Q2,8:32,23,11,154,USA,410523,Colben,Landrew,7,FT,1st of 2 free throws missed,0,1,FT,0,0
