liga,nombre_completo,nombre_abreviado,fecha_nacimiento,url_perfil
Liga Nacional,CHRISTOPHER JAMES VOGT,"VOGT, C.",08/02/1999,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/382485/vogt-christopher-james
Liga Nacional,CIRO MELO,"MELO, C.",05/11/2007,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/165711/melo-ciro
Liga Nacional,CLAUDIO FABIAN RAMIREZ BARRIOS,"RAMIREZ, C.",23/02/1990,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/209311/ramirez-barrios-claudio-fabian
Liga Nacional,CRISTIAN CARDO,"CARDO, C.",17/01/1999,https://www.laliganacional.com.ar/laliga/jugador/88/89192/23310/cardo-cristian
Liga Nacional,DANA D TATE JR,"TATE, D.",16/08/1999,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/385425/tate-jr-dana-d
Liga Nacional,DANIEL MOREIRA DE OLIVEIRA SANTOS DE LIMA,"MOREIRA, D.",04/07/2003,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/386499/moreira-de-oliveira-santos-de-lima-daniel
Liga Nacional,DANIEL HERNAN HURE,"HURE, D.",08/01/1985,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/183063/hure-daniel-hernan
Liga Nacional,DANJEL KEVON PURIFOY,"PURIFOY, D.",11/10/1995,https://www.laliganacional.com.ar/laliga/jugador/1498/89552/385926/purifoy-danjel-kevon
Liga Nacional,DANTE SAETTONE,"SAETTONE, D.",29/07/2008,https://www.laliganacional.com.ar/laliga/jugador/1426/88964/78910/saettone-dante
Liga Nacional,DAVID RANDALL SHRIVER,"SHRIVER, D.",19/07/2000,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/385809/shriver-david-randall
Liga Nacional,DAVIYON CURTIS DREPER,"DREPER, D.",06/08/1994,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/381837/dreper-daviyon-curtis
Liga Nacional,DEION MAURICE MCCLENTON,"MCCLENTON, D.",13/10/1991,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/380598/mcclenton-deion-maurice
Liga Nacional,DENNIS MC KINNEY,"MC KINNEY, D.",17/02/1998,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/385520/mc-kinney-dennis
Liga Nacional,DERRICK ISSAIAH WOODS,"WOODS, D.",25/08/1996,https://www.laliganacional.com.ar/laliga/jugador/80/89148/382311/woods-derrick-issaiah
Liga Nacional,DIEGO COLLOMB,"COLLOMB, D.",01/10/2004,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/150477/collomb-diego
Liga Nacional,DIEGO LIONEL TONARELLI,"TONARELLI, D.",10/09/2007,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/289614/tonarelli-diego-lionel
Liga Nacional,DIEGO RAFAEL FIGUEREDO,"FIGUEREDO, D.",27/12/1991,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/378312/figueredo-diego-rafael
Liga Nacional,DONALD LEE ROBINSON III,"ROBINSON, D.",11/07/1989,https://www.laliganacional.com.ar/laliga/jugador/1992/89551/385696/robinson-iii-donald-lee
Liga Nacional,DRAZEN SINIGOJ,"SINIGOJ, D.",17/03/2005,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/328971/sinigoj-drazen
Liga Nacional,DWAYNE MAURICE RUSSELL JR,"RUSSELL, D.",15/05/1998,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/386770/russell-jr-dwayne-maurice
Liga Nacional,DYLAN ALEJANDRO PEREZ HERNANDEZ,"PEREZ, D.",20/09/2005,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/384250/perez-hernandez-dylan-alejandro
Liga Nacional,DYLAN JUROD SMITH,"SMITH, D.",06/07/1997,https://www.laliganacional.com.ar/laliga/jugador/1932/88917/384168/smith-dylan-jurod
Liga Nacional,EDUARDO MARTIN VASIRANI,"VASIRANI, E.",16/01/1991,https://www.laliganacional.com.ar/laliga/jugador/46/88969/378866/vasirani-eduardo-martin
Liga Nacional,EDWIN DE JESUS MIJARES BARON,"MIJARES, E.",27/10/1992,https://www.laliganacional.com.ar/laliga/jugador/1882/89207/380707/mijares-baron-edwin-de-jesus
Liga Nacional,EDWIN JOSE NIEBLES HERRERA,"NIEBLES, E.",11/01/2005,https://www.laliganacional.com.ar/laliga/jugador/2305/89125/309704/niebles-herrera-edwin-jose
Liga Nacional,EMILIANO TORETTA,"TORETTA, E.",18/09/2001,https://www.laliganacional.com.ar/laliga/jugador/1474/88693/269193/toretta-emiliano
Liga Nacional,EMILIANO LEZCANO,"LEZCANO, E.",02/05/2001,https://www.laliganacional.com.ar/laliga/jugador/46/88969/271508/lezcano-emiliano
Liga Nacional,EMILIANO GUILLERMO BASABE,"BASABE, E.",02/07/1992,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/379607/basabe-emiliano-guillermo
Liga Nacional,ENZO MATEO FILIPPETTI SATURNO,"FILIPPETTI, E.",27/05/2001,https://www.laliganacional.com.ar/laliga/jugador/2025/89515/326007/filippetti-saturno-enzo-mateo
Liga Nacional,ERIC FABIAN FLOR,"FLOR, E.",10/05/1993,https://www.laliganacional.com.ar/laliga/jugador/80/89148/271970/flor-eric-fabian
Liga Nacional,EXEQUIEL LEZCANO,"LEZCANO, E.",04/03/2007,https://www.laliganacional.com.ar/laliga/jugador/1424/89517/323779/lezcano-exequiel
Liga Nacional,FACUNDO VAZQUEZ,"VAZQUEZ, F.",23/04/1998,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/377828/vazquez-facundo
Liga Nacional,FACUNDO PIÑERO,"PIÑERO, F.",16/07/1988,https://www.laliganacional.com.ar/laliga/jugador/46/88969/378865/pinero-facundo
Liga Nacional,FACUNDO CHAMORRO,"CHAMORRO, F.",12/09/2004,https://www.laliganacional.com.ar/laliga/jugador/1913/89177/182439/chamorro-facundo
Liga Nacional,FACUNDO ARIEL PERALTA,"PERALTA, F.",23/05/2007,https://www.laliganacional.com.ar/laliga/jugador/1869/89416/382332/peralta-facundo-ariel
Liga Nacional,FACUNDO GERMAN TOLOSA,"TOLOSA, F.",12/04/2002,https://www.laliganacional.com.ar/laliga/jugador/2376/89254/189628/tolosa-facundo-german
Liga Nacional,FACUNDO OSVALDO RUTENBERG,"RUTENBERG, F.",06/01/2001,https://www.laliganacional.com.ar/laliga/jugador/88/89192/27878/rutenberg-facundo-osvaldo
Liga Nacional,FAUSTO MOUSSA,"MOUSSA, F.",26/10/2004,https://www.laliganacional.com.ar/laliga/jugador/1790/89036/202585/moussa-fausto
