IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,personId,firstName,lastName,Dorsal,Periodo,Tipo,Resultado,Zona,x,y
125521,10/12/2025,URU,ARG,False,ARG,355917,Facundo,Cornalis,5,2,TIRO2,CONVERTIDO,,140,31
125521,10/12/2025,URU,ARG,True,URU,407647,Gabriel,Fata,19,2,TIRO2,CONVERTIDO,,133,39
125521,10/12/2025,URU,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO3,FALLADO,,46,170
125521,10/12/2025,URU,ARG,True,URU,407647,Gabriel,Fata,19,2,TIRO1,CONVERTIDO,,0,0
125521,10/12/2025,URU,ARG,True,URU,407647,Gabriel,Fata,19,2,TIRO1,CONVERTIDO,,0,0
125521,10/12/2025,URU,ARG,False,ARG,409021,Elias,Torrens,7,2,TIRO2,FALLADO,,115,24
125521,10/12/2025,URU,ARG,True,URU,324131,Federico,Cruz,8,2,TIRO2,FALLADO,,247,72
125521,10/12/2025,URU,ARG,False,ARG,398746,Roman,Moravansky,11,2,TIRO2,FALLADO,,157,26
125521,10/12/2025,URU,ARG,False,ARG,355917,Facundo,Cornalis,5,2,TIRO2,CONVERTIDO,,140,31
125521,10/12/2025,URU,ARG,True,URU,408046,Tomas,Abal,0,2,TIRO2,CONVERTIDO,,145,35
125521,10/12/2025,URU,ARG,False,ARG,408870,Gonzalo,Aman,8,2,TIRO1,FALLADO,,0,0
125521,10/12/2025,URU,ARG,False,ARG,408870,Gonzalo,Aman,8,2,TIRO1,FALLADO,,0,0
125521,10/12/2025,URU,ARG,True,URU,407936,Lautaro,Gomez,10,2,TIRO2,FALLADO,,141,38
125521,10/12/2025,URU,ARG,True,URU,407936,Lautaro,Gomez,10,2,TIRO2,CONVERTIDO,,152,40
125521,10/12/2025,URU,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO3,FALLADO,,34,133
125521,10/12/2025,URU,ARG,True,URU,329851,Nicolas,Testa,11,2,TIRO3,FALLADO,,262,106
125521,10/12/2025,URU,ARG,True,URU,375744,Manuel,Pastrana,4,2,TIRO2,FALLADO,,152,36
125521,10/12/2025,URU,ARG,True,URU,329851,Nicolas,Testa,11,2,TIRO2,FALLADO,,125,32
125521,10/12/2025,URU,ARG,True,URU,407936,Lautaro,Gomez,10,2,TIRO2,CONVERTIDO,,140,31
125521,10/12/2025,URU,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO3,CONVERTIDO,,149,170
125521,10/12/2025,URU,ARG,True,URU,408046,Tomas,Abal,0,2,TIRO1,CONVERTIDO,,0,0
125521,10/12/2025,URU,ARG,True,URU,408046,Tomas,Abal,0,2,TIRO1,CONVERTIDO,,0,0
125521,10/12/2025,URU,ARG,False,ARG,362126,Benjamin,Pettovello,2,2,TIRO2,CONVERTIDO,,143,35
