Fecha,Condicion equipos,Equipo,Rival,Número Camiseta,Apellido,Nombre,Nombre completo,Segundos jugados,Tiempo jugado (mm:ss),Puntos,T2A,T2I,T2%,T3A,T3I,T3%,T1A,T1I,T1%,DReb,OReb,TReb,Asistencias,Recuperos,Perdidas,Tapones cometidos,Tapones recibidos,Faltas Cometidas,Faltas Recibidas,Valoracion,Ganado,Estadio,IdPartido,Etapa,Titular,Plus/minus
10/12/2025,VISITANTE,ARG,URU,9,CELIZ,JOAQUIN,"CELIZ, J.",760,12:40,6,1,4,25.0,1,2,50.0,1,1,100.0,3,1,4,0,0,1,0,0,1,0,5,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,7
10/12/2025,VISITANTE,ARG,URU,10,CAUMO,JOAQUIN,"CAUMO, J.",1249,20:49,21,2,5,40.0,5,9,55.6,2,4,50.0,0,0,0,4,4,0,0,0,3,3,20,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,15
10/12/2025,VISITANTE,ARG,URU,11,MORAVANSKY,ROMAN,"MORAVANSKY, R.",1036,17:16,3,0,2,0.0,1,3,33.3,0,0,0.0,0,0,0,2,2,2,0,0,3,2,1,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,3
10/12/2025,VISITANTE,ARG,URU,12,FESSIA,MATEO,"FESSIA, M.",556,9:16,6,2,3,66.7,0,0,0.0,2,2,100.0,3,1,4,2,2,3,0,0,0,2,10,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,17
10/12/2025,VISITANTE,ARG,URU,14,PETTINAROLI,SANTIAGO,"PETTINAROLI, S.",1075,17:55,2,1,3,33.3,0,2,0.0,0,0,0.0,3,1,4,0,0,1,0,0,2,0,1,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,1,16
10/12/2025,VISITANTE,ARG,URU,15,MARQUEZ,JUAN,"MARQUEZ, J.",567,9:27,0,0,2,0.0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,0,0,0,0,-1,1,"Estadio Primero de Marzo, Asunción",125521,Grupo A,0,7
10/12/2025,LOCAL,ECU,COL,7,DAZA,JOSÉ,"DAZA, J.",966,16:6,5,2,3,66.7,0,0,0.0,1,2,50.0,5,0,5,0,1,2,0,0,4,1,7,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,-9
10/12/2025,LOCAL,ECU,COL,2,CASTILLO,JUAN,"CASTILLO, J.",1328,22:8,5,1,6,16.7,1,4,25.0,0,0,0.0,5,1,6,5,0,4,0,0,0,1,4,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,1,-22
10/12/2025,LOCAL,ECU,COL,1,CEVALLOS,MICHAEL,"CEVALLOS, M.",1651,27:31,12,0,3,0.0,4,7,57.1,0,0,0.0,2,1,3,2,3,1,0,0,2,0,13,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-31
10/12/2025,LOCAL,ECU,COL,10,ZAMBRANO,ALHAN,"ZAMBRANO, A.",1357,22:37,8,0,1,0.0,2,3,66.7,2,2,100.0,0,0,0,1,1,6,0,0,1,3,2,0,"Estadio Primero de Marzo, Asunción",125522,Grupo A,0,-12
