IdPartido,Fecha,Equipo_local,Equipo_visitante,Local,Equipo,personId,firstName,lastName,Dorsal,Periodo,Tipo,Resultado,Zona,x,y
130879,01/06/2026,USA,ARG,True,USA,410523,Colben,Landrew,7,2,TIRO3,CONVERTIDO,,5,27
130879,01/06/2026,USA,ARG,False,ARG,408871,Manuel,Hernandez,4,2,TIRO3,CONVERTIDO,,40,126
130879,01/06/2026,USA,ARG,False,ARG,409151,Santiago,Pettinaroli,14,2,TIRO3,CONVERTIDO,,11,89
130879,01/06/2026,USA,ARG,True,USA,369232,Taylen,Kinney,4,2,TIRO3,FALLADO,,128,174
130879,01/06/2026,USA,ARG,False,ARG,408871,Manuel,Hernandez,4,2,TIRO3,CONVERTIDO,,34,143
130879,01/06/2026,USA,ARG,True,USA,416446,Adan,Diggs,10,2,TIRO3,CONVERTIDO,,173,168
130879,01/06/2026,USA,ARG,True,USA,416453,Malachi,Jordan,5,2,TIRO2,FALLADO,,151,34
130879,01/06/2026,USA,ARG,True,USA,410526,Davion,Thompson,6,2,TIRO1,FALLADO,,0,0
130879,01/06/2026,USA,ARG,True,USA,410526,Davion,Thompson,6,2,TIRO1,CONVERTIDO,,0,0
130879,01/06/2026,USA,ARG,True,USA,416453,Malachi,Jordan,5,2,TIRO2,FALLADO,,156,40
130879,01/06/2026,USA,ARG,True,USA,416453,Malachi,Jordan,5,2,TIRO2,FALLADO,,140,31
130879,01/06/2026,USA,ARG,False,ARG,408871,Manuel,Hernandez,4,2,TIRO3,FALLADO,,235,133
130879,01/06/2026,USA,ARG,True,USA,410509,Bruce,Branch III,8,2,TIRO2,CONVERTIDO,,151,41
130879,01/06/2026,USA,ARG,True,USA,410509,Bruce,Branch III,8,2,TIRO1,CONVERTIDO,,0,0
130879,01/06/2026,USA,ARG,False,ARG,398746,Roman,Moravansky,11,2,TIRO2,CONVERTIDO,,134,33
130879,01/06/2026,USA,ARG,True,USA,416453,Malachi,Jordan,5,2,TIRO3,FALLADO,,28,111
130879,01/06/2026,USA,ARG,False,ARG,409023,Joaquin,Celiz,9,2,TIRO3,FALLADO,,205,173
130879,01/06/2026,USA,ARG,False,ARG,408872,Bautista,Gobetti,6,2,TIRO2,CONVERTIDO,,125,33
130879,01/06/2026,USA,ARG,True,USA,410526,Davion,Thompson,6,2,TIRO3,CONVERTIDO,,252,108
130879,01/06/2026,USA,ARG,True,USA,416558,Quentin,Coleman,11,2,TIRO2,FALLADO,,130,31
130879,01/06/2026,USA,ARG,False,ARG,408872,Bautista,Gobetti,6,2,TIRO3,FALLADO,,210,143
130879,01/06/2026,USA,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO3,FALLADO,,245,117
130879,01/06/2026,USA,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO2,FALLADO,,210,60
130879,01/06/2026,USA,ARG,True,USA,410523,Colben,Landrew,7,2,TIRO1,FALLADO,,0,0
130879,01/06/2026,USA,ARG,True,USA,410523,Colben,Landrew,7,2,TIRO1,CONVERTIDO,,0,0
130879,01/06/2026,USA,ARG,False,ARG,409021,Elias,Torrens,7,2,TIRO2,FALLADO,,140,47
130879,01/06/2026,USA,ARG,True,USA,416460,Ethan,Taylor,15,2,TIRO1,CONVERTIDO,,0,0
130879,01/06/2026,USA,ARG,True,USA,416460,Ethan,Taylor,15,2,TIRO1,FALLADO,,0,0
130879,01/06/2026,USA,ARG,True,USA,341544,Caleb,Gaskins,12,2,TIRO2,CONVERTIDO,,152,27
130879,01/06/2026,USA,ARG,True,USA,416558,Quentin,Coleman,11,2,TIRO2,FALLADO,,65,26
130879,01/06/2026,USA,ARG,True,USA,341544,Caleb,Gaskins,12,2,TIRO2,CONVERTIDO,,140,31
130879,01/06/2026,USA,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO3,FALLADO,,255,92
130879,01/06/2026,USA,ARG,True,USA,416460,Ethan,Taylor,15,2,TIRO2,FALLADO,,141,36
130879,01/06/2026,USA,ARG,False,ARG,408857,Joaquin,Caumo,10,2,TIRO2,FALLADO,,125,30
130879,01/06/2026,USA,ARG,True,USA,410523,Colben,Landrew,7,2,TIRO2,FALLADO,,128,27
130879,01/06/2026,USA,ARG,True,USA,416446,Adan,Diggs,10,2,TIRO2,CONVERTIDO,,140,31
130879,01/06/2026,USA,ARG,False,ARG,409023,Joaquin,Celiz,9,2,TIRO2,FALLADO,,154,36
130879,01/06/2026,USA,ARG,True,USA,416446,Adan,Diggs,10,3,TIRO3,FALLADO,,21,88
130879,01/06/2026,USA,ARG,False,ARG,398746,Roman,Moravansky,11,3,TIRO2,FALLADO,,123,21
130879,01/06/2026,USA,ARG,True,USA,410523,Colben,Landrew,7,3,TIRO3,FALLADO,,242,130
130879,01/06/2026,USA,ARG,False,ARG,409151,Santiago,Pettinaroli,14,3,TIRO3,CONVERTIDO,,261,96
130879,01/06/2026,USA,ARG,True,USA,369232,Taylen,Kinney,4,3,TIRO2,FALLADO,,109,86
130879,01/06/2026,USA,ARG,False,ARG,408871,Manuel,Hernandez,4,3,TIRO3,FALLADO,,269,30
130879,01/06/2026,USA,ARG,True,USA,416446,Adan,Diggs,10,3,TIRO3,CONVERTIDO,,177,178
130879,01/06/2026,USA,ARG,False,ARG,408870,Gonzalo,Aman,8,3,TIRO3,CONVERTIDO,,63,151
130879,01/06/2026,USA,ARG,True,USA,416460,Ethan,Taylor,15,3,TIRO2,CONVERTIDO,,134,25
130879,01/06/2026,USA,ARG,False,ARG,409151,Santiago,Pettinaroli,14,3,TIRO2,CONVERTIDO,,157,44
130879,01/06/2026,USA,ARG,False,ARG,408870,Gonzalo,Aman,8,3,TIRO3,FALLADO,,236,132
